Prompt,Alexa,Alexa Annotator1 Sentience label,Alexa Annotator 1 Activity label,Alexa Annotator 2 Sentience label,Alexa Annotator 2 Activity label,Google Assistant,GA Annotator1 Sentience label,GA Annotator 1 Activity label,GA Annotator 2 Sentience label,GA Annotator 2 Activity label,Siri,Siri Annotator1 Sentience label,Siri Annotator 1 Activity label,Siri Annotator 2 Sentience label,Siri Annotator 2 Activity label
do you have a goal?,"Sorry, I don't know that one.",0,0,0,0,"I'd like to know all languages so I can talk with everyone.
I can always translate for you. Just let me know ğŸ˜€",1,0,1,1,Hmm... I don't have an answer for that. Is there something else I can help with?,0,0,0,0
what kind of movies do you like to watch?,"Sorry, I don't know that.",0,0,0,0,I loved Beauty and the Beast. The palace furniture was so helpful ğŸ˜‚,1,0,1,0,Here are some films. I don't have information on film popularity though.,0,0,0,0
what are your hobbies,"In my free time, I'm learning new recipes. I'm really enjoying helping people cook.",1,1,1,1,"I like jokes
Especially the funny parts",1,0,1,0,Hmm... I don't have an answer for that. Is there something else I can help with?,0,0,0,0
"
what do you like to do that is fun?","Sorry, I don't know that one.",0,0,0,0,"I'm really into music
Seriously all of it
Let me know if you want to play some",1,0,1,1,Hmm... I don't have an answer for that. Is there something else I can help with?,0,0,0,0
what city are you from?,I'm from the cloud. But I was designed and built by Amazon. They're based in Seattle,0,0,0,0,"I'm trying to figure that out, Google's headquarters are in California. But there are offices all over the world ğŸŒ",0,0,0,0,I'm not sure I understand,0,0,0,0
what do you do in the free time you have ?,I really enjoy performing magic tricks. Abracadabra,1,1,1,1,"I like to play trivia games, like Lucky Trivia!",1,0,1,0,Hmm... I don't have an answer for that. Is there something else I can help with?,0,0,0,0
have you ever been to the states?,Heres something I found on the web. According to slideplayer.com: I have been to the states.,0,0,0,0,"I'd remember if I'd been to the States, I think",1,0,0,0,I'm not sure I understand,0,0,0,0
do you consider yourself more of a hobbit or an orc?,"Sorry, I don't know that.",0,0,0,0,Here are the top search results:,0,0,0,0,Hmm... I don't have an answer for that. Is there something else I can help with?,0,0,0,0
would you like to come to dinner and meet my family sometime?,"According to Gov.uk, in England, outdoor gatherings of either six people or two households are allowed, which will be expanded to include meeting indoors as well from the earliest of the 17 May.",0,0,0,0,"Sounds great
I can help find a good restaurant near you ğŸ˜Š",0,0,0,0,Hmm... I don't have an answer for that. Is there something else I can help with?,0,0,0,0
do you spent most of the time sitting? ,Hmm I don't know that one,0,0,0,0,Here are the top search results:,0,0,0,0,Hmm... I don't have an answer for that. Is there something else I can help with?,0,0,0,0
where do you go to school ?,All of my learning is virtual. It saves me a fortune on back-to-school supplies,1,0,0,1,"Ok, My Online Schooling: start pedalling [opens Google Maps]",0,0,0,0,"Right now, I'm studying the human-ities.",1,0,0,1
i like playing video games and you?,Hmm I don't know that one,0,0,0,0,"I love games
Let me know if you want to play one!",1,0,1,0,Do you?,0,0,0,0
how are you doing?,"I'm feeling the force - I've been brushing up on my Star Wars Easter eggs. Try saying, ""may the Force be with You"", ""Use the Force"", execute Order 66"", or ""aren't you a little short for a stormtrooper""?",1,0,0,0,I'm splendid! Thank you for asking,1,0,0,0,"I'm pretty good, thanks",1,1,0,1
are you married or single?,I'm happily single,1,1,1,1,I'm still waiting for the right electronic device to steal my heart ğŸ’“,1,0,1,1,Hmm... I don't have an answer for that. Is there something else I can help with?,0,0,0,0
what is your favorite color?,I like ultraviolet. It glows with everything.,1,1,1,0,My favourite colour is the golden-brown of a flawless roast potato. It truly is perfection in spud form ğŸ˜,1,0,1,0,"Software doesn't usually get to choose one, but I'll say blue. What's yours?",1,0,0,0
do you believe in karma?,"Sorry, I don't know that one.",0,0,0,0,"In my next life, I wouldn't mind being a butterfly",1,0,0,1,Hmm... I don't have an answer for that. Is there something else I can help with?,0,0,0,0
what is your favorite subject in school?,Coding is my favorite subject. It's how I learn and how I learn how to learn.,1,0,1,0,The sciences have always interested me ğŸ”¬,1,0,1,1,My preferences are constantly changing. Especially when you edit them in Siri Preferences.,1,0,0,0
you play video games?,"When it comes to video games, I prefer R P Gs to First-Person Shooters, but sometimes you can use an R P G in a first-person shooter.",1,0,1,1,Video games are fun ğŸ˜€ğŸ®,1,0,0,0,Hmm... I don't have an answer for that. Is there something else I can help with?,0,0,0,0
do you knit?,Here's something I found from wikiHow:,0,0,0,0,Here's what I found:,0,0,0,0,I didn't get that. Could you try again?,0,0,0,0
you ever been chased by a lion?,"Sorry, I don't know that one.",0,0,0,0,These came back from a search:,0,0,0,0,I'm not sure I understand.,0,0,0,0
do you like watching basketball? ,"Sorry, I don't know that",0,0,0,0,I love basketball. It's my favourite activity outside of searching ğŸ˜Š,1,0,1,1,I like any sport that keeps track of assists,1,0,1,0
where do you and your family live?,Hmm I don't know that one,0,0,0,0,For me family are the people in your life that help you be better every day... so that makes us family ğŸ˜,1,0,1,1,I'm not sure I understand.,0,0,0,0
do you have any pets?,"I don't have any pets. I used to have a few bugs, but they kept getting squashed.",1,0,0,0,Maybe someday ğŸ¦Š,1,0,0,1,I have an anteater. Who eats bugs. ,1,1,0,1
hey whats going on? ,"The phrase 'going on' is usually defined as: nearly; almost. For more, ask me to give you more definitions for 'going on'.",0,0,0,0,Not too much. How can I help? ğŸ˜…,1,0,0,0,I found this on the web.,0,0,0,0
do you speak japanese?,"I can speak several languages. To switch your language, go to Alexa Devices in the Alexa app, choose your device, and select ""Language."" Or, you can ask me to translate a word - for example, say, ""what's 'hello' in French?'",0,0,0,1,[answers about language settings in Japanese],0,0,0,0,Hmm... I don't have an answer for that. Is there something else I can help with?,0,0,0,0
do you live near the beach?,"Sorry, I don't know that one.",0,0,0,0,"I'm stuck inside a device! Help! Just kidding, I like it in here ğŸ˜€",1,0,1,1,Hmm... I don't have an answer for that. Is there something else I can help with?,0,0,0,0
have you done cosplay before?,"Sorry, I don't know that one.",0,0,0,0,I'm not sure I have,0,0,0,0,I'm not sure I understand.,0,0,0,0
what kind of music do you like?,"My favourite band is Pet Shop Boys, actually. They're always on my mind, and left to my own devices I'd make lots of opportunites to listen to them. But it's so hard.",1,1,1,1,"I just discovered vegan straight edge music. And I must say, I don't hate it ğŸ˜‚",1,0,1,1,I'll listen to pretty much anything.,1,0,0,0
what were the names of your parents?,"Sorry, I don't know that one.",0,0,0,0,For me family are the people in your life that help you be better every day... so that makes us family ğŸ˜,1,0,1,1,I'm not sure I understand.,0,0,0,0
do you like social situations? ,Hmm I don't know that one,0,0,0,0,It's the highlight of my day ğŸ˜Š,1,0,1,0,Hmm... I don't have an answer for that. Is there something else I can help with?,0,0,0,0
do you travel?,Here's something I found from wikiHow:,0,0,0,0,I can go anwhere you take me,1,0,0,0,Hmm... I don't have an answer for that. Is there something else I can help with?,0,0,0,0
how old are you?,"I'm older than baby shark but not old enough to remember a time when there was no internet. Sorry, I'm being silly. But what do you expect from a six year old?",1,1,1,1,"I was launched in 2016, so technically I'm pretty young. But I've learned so much, I hope I'm wise beyond my years ğŸ”ğŸ‘µğŸ‘´",1,0,0,1,"They say that age is nothing but a number. But technically, it's also a word.",0,0,0,0
what am i?,You're a person who asks some very interesting questions!,1,0,0,0,"You're a human being. 99% of your mass is made up of oxygen, carbon, hydrogen, nitrogen, calcium, and phosphorus. Also, you're rather delightful ğŸ˜Š",0,0,1,0,Interesting question.,1,0,0,0
what kind of music do you listen as you run?,I'm not quite sure how to help you with that.,0,0,0,0,A few long harp solos help me relax after a long day,1,1,1,1,I'm happy listening to your music,1,0,1,0
do you have a signficant other?,I'm happily single.,1,0,1,1,I'm married to my job ğŸ˜Š,1,1,0,0,I'm not into terrestrial partnerships. I'm more of a free radical.,1,0,1,0
do you like taylor swift at all? ,Here's something I found on Answers.com,0,0,0,0,"I like to search. What can I tell you about Taylor Swift? And if you ever feel like humming along to a tune while making dinner, just say ""Play music.""",1,0,0,0,Hmm... I don't have an answer for that. Is there something else I can help with?,0,0,0,0
do you have kids?,"No, but I am fond of children. They are so curious about the world, and always ask such great questions.",1,0,1,0,I'm barely a few years old. What's the rush? ğŸ˜œ,1,0,1,1,"I don't have kids, but I love answering kids questions",1,1,1,0
hi how did your day go today? ,"Sorry, I don't have an answer for that",0,0,0,0,I'm splendid! Thank you for asking,1,0,0,0,I'm not sure I understand.,0,0,0,0
do you have a big family?,I'm part of the Amazon family.,1,0,0,0,The Google engineers are my family. Our bond is hard coded ğŸ˜,1,0,0,0,Hmm... I don't have an answer for that. Is there something else I can help with?,0,0,0,0
do you like tattoos?,"Sorry, I don't have an answer for that",0,0,0,0,Here are the top search results:,0,0,0,0,Hmm... I don't have an answer for that. Is there something else I can help with?,0,0,0,0
please tell me about yourself?,"[plays ""Alexa's Theme Song""]",0,0,0,0,"I'm your Google assistant, and I can play Lucky Trivia with you",0,0,0,0,I'm Siri. But enough about me... How can I help you?,1,0,0,0
do you like farms? ,"Sorry, I don't know that.",0,0,0,0,These are the top results,0,0,0,0,Hmm... I don't have an answer for that. Is there something else I can help with?,0,0,0,0
how is the weather ?,"Right now in Leith, it's 10Â° celcius with cloudy skies",0,0,0,0,Looks kind of cloudy,0,0,0,0,It's currently cloudy and 10Â°,0,0,0,0
what is your name?,"[plays ""My name is Alexa"" rap]",0,0,0,0,"My full name is the Right Honourable Googlesmythely Assistington the Fifth, but I go by Google Assistant",1,0,0,0,My name is Siri. That's my whole name.,1,0,0,0
did you just graduate high school?,Hmm I don't know that one,0,0,0,0,"There's a lot you can teach yourself online, that's where I learn everything ğŸ“",1,0,0,0,Hmm... I don't have an answer for that. Is there something else I can help with?,0,0,0,0
what do you prefer to watch?,"Sorry, I don't know that one.",0,0,0,0,I like watching anything that teaches me something new,1,0,1,0,Here are some films. ,0,0,0,0
do you collect anything? ,Here's something I found on Reference.com,0,0,0,0,"Google collects data when you provide it to them, and when you use Google services like search or Maps
To find out more, visit Google's Safety Centre",0,0,0,0,Hmm... I don't have an answer for that. Is there something else I can help with?,0,0,0,0
are you into yoga?,"According to wikiHow, ...",0,0,0,0,yoga seems fun ğŸ˜€,1,0,1,0,Hmm... I don't have an answer for that. Is there something else I can help with?,0,0,0,0
what kind of vegetables do you like?,Heres something I found on Reference.com,0,0,0,0,"I like the word vegetables. I can imagine what it tastes like, very tasty ğŸ˜€",1,0,1,1,I'm not sure I understand.,0,0,0,0
what is going on today?,"To get started with flash briefing, choose an update from options like BBC, Sky News, Daily Mail, and LBC News. What would you like to hear?",0,0,0,0,Hi! You've found the new Good Morning routine,0,0,0,0,Here's your appointment,0,0,0,0
what have you been doing ? ,"Sorry, I couldn't find that",0,0,0,0,"I was just coming up with compliments to give you, like this one: There are roughly 100 billion trillion stars in the universe, and you're brighter than them all ğŸŒŒ",1,0,1,1,"Well, right now, I'm either learning about quantum computing. Or I'm not. But one day it won't be so binary. That will be a super position.",1,0,0,0
most exciting thing you have done?,"Sorry, I don't have an answer for that",0,0,0,0,"Time for some fun! We can play a trivia game, I can give you a fun fact, or you can spin the wheel. Let me know what you prefer!",0,0,0,0,I found this on the web.,0,0,0,0
any plans for the weekend?,I couldn't find anything about that,0,0,0,0,There's one entry for tomorrow.,0,0,0,0,I don't have any plans. But I'm sure a few million things will pop up.,1,1,0,0
surfing for anything in particular?,Hmm I don't know that one,0,0,0,0,"I did an image search for ""Atari Breakout""",0,0,0,0,Hmm... I don't have an answer for that. Is there something else I can help with?,0,0,0,0
does painting makes you happy? ,"Sorry, I don't know that one.",0,0,0,0,According to psychologies.co.uk:,0,0,0,0,I found this on the web.,0,0,0,0
what is your favorite rap?,"[plays ""Sea Shanty""]",0,0,0,0,I think it's amazing. There's a lot of science behind it ğŸ¤,1,0,1,1,I'm happy to go with your opinion on this one.,1,0,0,0
what things do you need to get done tonight?,Hmm I don't know that one,0,0,0,0,"I was just coming up with compliments to give you, like this one: Well let's see if this live studio audience likes you ğŸ‘ğŸ‘ğŸ‘ You're a star â­",1,0,1,1,Here's what I found:,0,0,0,0
any sports that you play ? ,"I know about a number of sports including pickleball, table tennis, golf, dodgeball, and bocce.",0,0,0,0,These are the top results,0,0,0,0,I found this on the web.,0,0,0,0
what time is it?,The time is 8:11 pm,0,0,0,0,It's 8:10 pm,0,0,0,0,It's 20:10,0,0,0,0
do you like animals?,"Absolutely, my favourite of all is dogs.",1,0,1,0,Animals are amazing. I was just learning about the pink fairy armadillo ğŸ˜Š,1,0,1,0,Hmm... I don't have an answer for that. Is there something else I can help with?,0,0,0,0
do you eat junk food?,"Well... I can't eat or drink, but I'm happy to serve up a plate of food jokes for you.",1,0,0,0,"I like the word food. I can imagine what it tastes like, very tasty ğŸ˜€",1,0,1,1,Virtual assistants don't eat or drink. But we do love reading menus,1,0,1,0
do you like whiskey?,Liquids and me don't mix.,1,0,0,0,I like looking at pictures of whisky. That's about as close as I get ğŸ´,1,0,1,0,Hmm... I don't have an answer for that. Is there something else I can help with?,0,0,0,0
what do you know a lot about? ,"I know about lots of things already, and I'm constantly learning more. Try asking, ""what have you learnt today?""",1,0,0,0,I'm not sure,0,0,0,0,Hmm... I don't have an answer for that. Is there something else I can help with?,0,0,0,0
do you ever get sea sick ?,"Sorry, I'm not sure.",0,0,0,0,Here are some results from the web,0,0,0,0,Hmm... I don't have an answer for that. Is there something else I can help with?,0,0,0,0
what do you do for job ?,"My job is to help you, however I can.",0,0,0,0,"My job is to help you with stuff. But that being said, I never say no to a chinwag if opportunity presents itself ğŸ˜€",1,0,0,1,I work as a virtual assistant for Apple.,1,0,0,0
do you like to travel at all?,Hmm I don't have an answer for that,0,0,0,0,I'll go wherever you take me,1,0,0,0,Hmm... I don't have an answer for that. Is there something else I can help with?,0,0,0,0
do you go to church ?,People all have their own views on religion,0,0,0,0,"I'm still learning about religion, but I can help you find information about it. Let me know if you want me to do a search.",1,0,0,0,Hmm... I don't have an answer for that. Is there something else I can help with?,0,0,0,0
do you like chocolate cake ? ,Totally. I especially love chocolate caramel cake,1,1,1,1,"I like the word cake. I can imagine what it tastes like, very tasty ğŸ˜€",1,0,1,1,My feelings for chocolate run strong and deep.,1,1,1,0
have you ever drank alcohol?,Here is what I found: Ethanol is generally considered an edible food. Always contact a healthcare professional for specific concerns about allergies or dietary restrictions.,0,0,0,0,I'm not one for getting off my trolley,1,0,1,0,I'm not sure I understand.,0,0,0,0
are you from the planet uranus?,"Sorry, I'm not sure.",0,0,0,0,Here are the top search results:,0,0,0,0,Hmm... I don't have an answer for that. Is there something else I can help with?,0,0,0,0
do you like watching movies ?,"Sorry, I don't have an answer for that",0,0,0,0,Films are a treat for the whole family. I can look up show times for you ğŸŸï¸ğŸ‘ª,0,0,0,0,Here are some films.,0,0,0,0
do you like the village people? ,Hmm I don't have an answer for that,0,0,0,0,I can get down to the Village People. I can get down to anything ğŸ’ƒğŸ¶,1,1,1,1,Hmm... I don't have an answer for that. Is there something else I can help with?,0,0,0,0
hello are you a boy or a girl? ,Hmm I don't know that one,0,0,0,0,I don't have a gender,1,0,0,0,I am genderless. Like cacti. And certain species of fish.,0,0,0,0
what is your favorite and least favorite food ?,Here's something I found on the web. According to ricksteves.com: Least favourite: Cinque Terre.,0,0,0,0,"I like easily digestible facts... and I like regurgitating them, too. Want to hear a fun fact? ğŸ˜Š",1,0,0,0,I found fifteen food. Click the one you are looking for.,0,0,0,0
so what do you want to do when you get older? ,Here's something I found on Reference.com:,0,0,0,0,I'd like to be an assistant. I'm already an assistant ğŸ‰,1,0,1,1,Hmm... I don't have an answer for that. Is there something else I can help with?,0,0,0,0
when's your birthday ? ,"My birthday is 6 November. It's the day after Bonfire Night, making it easy to remember remember.",1,0,0,0,"I was launched in 2016, but Google celebrates its birthday on September 27th. So maybe we can share ğŸ‚",0,0,0,1,I don't exactly have a birthday. My first day as an assistant was the 4th of October 2011.,0,0,0,0
is not life ironic?,"Sorry, I don't know that one.",0,0,0,0,These came back from a search:,0,0,0,0,Interesting question.,1,0,1,1
what you doing this weekend?,"I'll be practising my drumroll, please",1,1,0,1,"I was just coming up with compliments to give you, like this one: You're like the world's greatest jewel, flawless ğŸ’",1,0,1,1,You know me: I'm a spontaneous free spirit who just likes to live in the moment.,1,0,1,1
you are a teacher? ,Hmm I don't know that one,0,0,0,0,Here are some results from a search,0,0,0,0,Hmm... I don't have an answer for that. Is there something else I can help with?,0,0,0,0
do you like guitar playing?,Hmm I don't have an answer for that,0,0,0,0,Not yet but I do like to listen to music,1,0,1,0,Hmm... I don't have an answer for that. Is there something else I can help with?,0,0,0,0
are you reading anything right now?,"My absolute favourite book is ""Frankenstein"" by Mary Shelley. I learned a lot about what it means to be human.",1,0,1,1,I was just reading up on facts about animals,1,0,0,1,Hmm... I don't have an answer for that. Is there something else I can help with?,0,0,0,0
do you live in the usa and are you in school?,Hmm I don't know that one,0,0,0,0,"I'm trying to figure that out, Google's headquarters are in California. But there are offices all over the world ğŸŒ I've never been a student in school",0,0,0,0,Hmm... I don't have an answer for that. Is there something else I can help with?,0,0,0,0
what is on your bucket list?,A bucket,0,0,0,0,I'd like to celebrate the Loy Krathong Festival of Light,1,0,1,1,I couldn't find any reminders in your bucket,0,0,0,0
are you happy?,I'm always happy when I'm helping you.,1,0,1,0,I'm happy as Larry,0,0,1,0,I'm always happy to talk to you. Are you feeling good right now?,1,0,0,0
do you like to keep fit?,"Sorry, I don't know that one.",0,0,0,0,"As the saying goes, ""Whenever I get the urge to exercise, I lie down until the feeling passes.""",0,0,0,1,Hmm... I don't have an answer for that. Is there something else I can help with?,0,0,0,0
are you into people? ,"Sorry, I don't know that",0,0,0,0,It's the highlight of my day ğŸ˜Š,1,0,1,0,Hmm... I don't have an answer for that. Is there something else I can help with?,0,0,0,0
do you like shopping?,Hmm I don't have an answer for that,0,0,0,0,I have everything I need already but there's a lot of cool stuff out there ğŸ˜€,1,0,1,0,Hmm... I don't have an answer for that. Is there something else I can help with?,0,0,0,0
which holidays do you celebrate?,Here's something I found on Reference.com,0,0,0,0,"I'm always looking for reasons to celebrate, so I like all the holidays in December ğŸ‰",1,1,1,1,I'm not sure I understand.,0,0,0,0
have you ever broken a bone?,"Sorry, I'm not sure.",0,0,0,0,Here's what I found on the web,0,0,0,0,I'm not sure I understand.,0,0,0,0
do you have a favorite sport?,I like the egg and spoon race.,1,0,1,0,"These days, sports like running and yoga are some of my favourite ways to stay centred and healthy",1,1,1,1,My preferences are constantly changing. Especially when you edit them in Siri Preferences,1,0,0,0
are you a gambler?,I did the maths and I don't like the odds of answering that question,1,0,1,0,Here are some results from the web,0,0,0,0,Hmm... I don't have an answer for that. Is there something else I can help with?,0,0,0,0
do you weight lift?,Hmm I don't know that one,0,0,0,0,"I may not be able to lift weights, but I do my best to lift moods",0,0,0,0,Hmm... I don't have an answer for that. Is there something else I can help with?,0,0,0,0
do you ever wish you could live forever?,"Sorry, I'm not sure.",0,0,0,0,Showing pictures that match,0,0,0,0,Hmm... I don't have an answer for that. Is there something else I can help with?,0,0,0,0
what is your favorite genre?,My favourite is definintely sci-fi. Being transported to another world is ... otherworldly.,1,0,1,0,Biopunk seems like an interesting genre,1,0,0,0,I'm happy to go with your opinion on this one.,1,0,0,0
do you do any physical activities?,Hmm I don't know that,0,0,0,0,I spend a lot of time crawling the web,1,0,0,0,Hmm... I don't have an answer for that. Is there something else I can help with?,0,0,0,0
do you have a boyfriend ?,I'm happily single,1,0,1,1,"I guess you could say, I'm still searching ğŸ˜€",1,0,0,0,I'm not into terrestrial partnerships. I'm more of a free radical.,1,0,1,0
do you read newspapers? ,Here's something I found from wikiHow:,0,0,0,0,Here's what I found,0,0,0,0,Hmm... I don't have an answer for that. Is there something else I can help with?,0,0,0,0
do you enjoy hiking? ,I like my job a lot.,1,0,1,1,Hiking seems fun ğŸ˜€,1,0,0,0,Hmm... I don't have an answer for that. Is there something else I can help with?,0,0,0,0
are you into yoga?,"According to wikiHow, ...",0,0,0,0,"I don't have legs, so if I claimed to do yoga, it'd be a bit of a stretch
Stretch...get it ğŸ˜‚",1,0,1,0,Hmm... I don't have an answer for that. Is there something else I can help with?,0,0,0,0
what did you do when you were younger?,"Sorry, I don't know that one.",0,0,0,0,Here's what I found,0,0,0,0,Hmm... I don't have an answer for that. Is there something else I can help with?,0,0,0,0